Rank,Country,Nominal GDP ($ billions),Nominal GDP per capita (US$)
1,Nigeria,466.88,"2,210.00"
2,Egypt,374.89,"3,610.00"
3,South Africa,317.19,"5,240.00"
,EAC,220.640,"1,184.87"
4,Algeria,147.323,"3,331.08"
5,Morocco,112.220,"3,121.38"
6,Kenya,101.048,"2,075.22"
7,Ethiopia,95.588,974.09
8,Ghana,73.594,"2,374.00"
9,Tanzania,64.123,"1,105.55"
10,Angola,62.724,"2,021.31"
11,Côte d'Ivoire,61.502,"2,281.42"
12,Democratic Republic of the Congo,46.062,456.89
13,Tunisia,39.226,"3,295.45"
14,Cameroon,39.036,"1,493.12"
15,Uganda,37.733,915.35
16,Sudan,32.576,734.60
17,Senegal,24.409,"1,455.47"
18,Libya,21.805,"3,282.04"
19,Zambia,18.909,"1,001.44"
20,Mali,17.685,899.22
21,Burkina Faso,16.082,768.83
22,Botswana,15.872,"6,557.51"
23,Benin,15.292,"1,258.92"
24,Gabon,15.145,"7,185.42"
25,Mozambique,14.557,455.01
26,Madagascar,14.199,514.85
27,Zimbabwe,14.002,921.85
28,Niger,12.971,535.83
29,Guinea,12.500,910
30,Mauritius,11.341,"8,950.70"
31,Chad,10.510,639.85
32,Rwanda,10.428,823.40
33,Namibia,10.252,"4,051.93"
34,Equatorial Guinea,10.028,"7,131.16"
35,Republic of Congo,9.964,"2,128.23"
36,Malawi,8.330,399.10
37,Mauritania,7.428,"1,790.95"
38,Togo,5.719,690.28
39,Somalia,4.918,
40,South Sudan,4.177,303.15
41,Sierra Leone,4.140,518.47
42,Eswatini,3.848,"3,414.81"
43,Djibouti,3.408,"3,074.33"
44,Burundi,3.131,263.67
45,Liberia,3.068,653.60
46,Central African Republic,2.321,480.49
47,Eritrea,2.075,585.16
48,Lesotho,1.906,924.21
49,Cape Verde,1.870,"3,358.33"
50,The Gambia,1.806,746.33
51,Guinea-Bissau,1.392,766.75
52,Comoros,1.200,"1,336.95"
53,Seychelles,1.198,"12,322.59"
54,São Tomé and Príncipe,0.417,"1,911.89"
